"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Bachelor's degree","Technische Hochschule Nürnberg Georg Simon Ohm","Bachelor of Engineering in Mechanical Engineering","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9268/"
"Bachelor's degree","FH Aachen University of Applied Sciences","Bachelor of Engineering in Mechanical Engineering","Mechanical Engineering / Process Engineering",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4009/"
"Bachelor's degree","Schmalkalden University of Applied Sciences","Bachelor of Engineering in Mechatronics and Robotics (BEng)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9782/"
"Bachelor's degree","FH Aachen University of Applied Sciences","Bachelor of Engineering in Medical Engineering","Engineering in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4008/"
"Bachelor's degree","FH Aachen University of Applied Sciences","Bachelor of Engineering in Physical Engineering","Engineering in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4011/"
"Bachelor's degree","University of Bayreuth","Bachelor of Intercultural German Studies (Bachelor Interkulturelle Germanistik)","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5562/"
"Bachelor's degree","Zeppelin University","Bachelor of Science (BSc) in Management, Economics & Social Sciences | MES","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9987/"
"Bachelor's degree","FH Aachen University of Applied Sciences","Bachelor of Science in Applied Chemistry","Chemistry",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3997/"
"Bachelor's degree","Constructor University","Bachelor of Science in Applied Computer Science","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8430/"
"Bachelor's degree","University of Passau","Bachelor of Science in Artificial Intelligence","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9973/"
"Bachelor's degree","Constructor University","Bachelor of Science in Biochemistry and Cell Biology (BCCB)","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3659/"
"Bachelor's degree","Technische Universität Ilmenau","Bachelor of Science in Biomedical Engineering","Engineering in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4812/"
"Bachelor's degree","FH Aachen University of Applied Sciences","Bachelor of Science in Biotechnology","Mathematics, Natural Sciences in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8978/"
"Bachelor's degree","University of Passau","Bachelor of Science in Business Administration and Economics","Business and Economics",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7076/"
"Bachelor's degree","Constructor University","Bachelor of Science in Chemistry and Biotechnology","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3660/"
"Bachelor's degree","Constructor University","Bachelor of Science in Computer Science","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3663/"
"Bachelor's degree","University of Passau","Bachelor of Science in Digital Transformation in Business and Society","Law, Economics and Social Sciences in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7794/"
"Bachelor's degree","Constructor University","Bachelor of Science in Earth Sciences and Sustainable Management of Environmental Resources (ESSMER)","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3616/"
"Bachelor's degree","Constructor University","Bachelor of Science in Electrical and Computer Engineering","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3664/"
"Bachelor's degree","Constructor University","Bachelor of Science in Industrial Engineering & Management","Industrial Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3898/"
"Bachelor's degree","Constructor University","Bachelor of Science in Industrial Engineering & Management","Industrial Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9771/"
"Bachelor's degree","Constructor University","Bachelor of Science in Integrated Social and Cognitive Psychology","Psychology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3593/"
"Bachelor's degree","Furtwangen University","Bachelor of Science in International Engineering (IEB)","Industrial Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4203/"
"Bachelor's degree","Hochschule Geisenheim University","Bachelor of Science in International Wine Business","Agriculture, Food and Beverage Technology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8448/"
"Bachelor's degree","Constructor University","Bachelor of Science in Management, Decisions and Data Analytics","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9780/"
"Bachelor's degree","Constructor University","Bachelor of Science in Mathematics, Modelling and Data Analytics","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3661/"
"Bachelor's degree","Constructor University","Bachelor of Science in Medicinal Chemistry & Chemical Biology (MCCB)","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4630/"
"Bachelor's degree","Constructor University","Bachelor of Science in Physics and Data Science","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3662/"
"Bachelor's degree","Constructor University","Bachelor of Science in Robotics and Intelligent Systems","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4303/"
"Bachelor's degree","Constructor University","Bachelor of Science in Software, Data and Technology","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9778/"
"Bachelor's degree","University of Münster","Bachelor of Science: Human Movement in Sports and Exercise","Sport",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4497/"
"Bachelor's degree","Technical University of Munich","Bachelor's Degree in Aerospace","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7256/"
"Bachelor's degree","Frankfurt School of Finance & Management","Bachelor's in Business Administration (BSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9678/"
"Bachelor's degree","Pforzheim University","Bachelor's in Business Administration / International Business (BSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9800/"
"Bachelor's degree","Kühne Logistics University","Bachelor's in Business Administration – Digital Management & Innovation","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7916/"
"Bachelor's degree","Kühne Logistics University","Bachelor's in Business Administration – Supply Chain Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7915/"
"Bachelor's degree","Kühne Logistics University","Bachelor's in Business Administration – Sustainable Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7914/"
"Bachelor's degree","WHU - Otto Beisheim School of Management","Bachelor's in Business Psychology (BBP)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7891/"
"Bachelor's degree","EBS Universität für Wirtschaft und Recht","Bachelor's in Business Studies (BSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4080/"
