"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Master's degree","Freie Universität Berlin","Science, Technology and Medicine in the Ancient World (STMAW)","Languages and Cultural Studies in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9181/"
"Master's degree","University of Bayreuth","Scientific Computing","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5244/"
"Language course","Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth","Seaside Summer Classes in German - Learn German at the Coast 2025","German Language Course (including Literature and Culture Studies)","EUR 580","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5272/"
"Short course","Freie Universität Berlin","Seduction and Terror: Hitler's Germany","History","EUR 1,850","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4903/"
"Short course","Freie Universität Berlin","Seduction and Terror: Hitler's Germany","History","EUR 1,300","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5035/"
"Language course","Freie Universität Berlin","Semi-Intensive German Language and Culture Course at Five Levels","German Language and Literature (German, Germanic Languages except English)","EUR 1,300","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4936/"
"Language course","Freie Universität Berlin","Semi-Intensive German Language and Culture Course at Five Levels","German Language and Literature (German, Germanic Languages except English)","EUR 1,850","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4986/"
"Language course","Freie Universität Berlin","Semi-Intensive German Language and Culture Course at Five Levels","German Language and Literature (German, Germanic Languages except English)","EUR 1,300","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4994/"
"Preparatory course","Technische Hochschule Ingolstadt","SHIFT Study Sprint Renewable Energy Systems",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9915/"
"Master's degree","Stralsund University of Applied Sciences","Simulation and System Design (SSD)","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6445/"
"Master's degree","University of Bonn","Slavery Studies","History",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7779/"
"Master's degree","Leipzig University","Small Enterprise Promotion & Training (SEPT MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9746/"
"Short course","Ruhr-Universität Bochum","Smart and Sustainable Buildings","Engineering in general","EUR 790","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9202/"
"Short course","Ruhr-Universität Bochum","Smart and Sustainable Energy Systems","Engineering in general","EUR 790","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9203/"
"Master's degree","Ansbach University of Applied Sciences","Smart Energy Systems","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7252/"
"Master's degree","RWTH Aachen University","Smart Production Engineering (SPE)","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3813/"
"Master's degree","University of Bayreuth","Social and Cultural Anthropology","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8292/"
"Master's degree","University of Konstanz","Social and Economic Data Science (SEDS) – Master of Science","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8927/"
"Master's degree","University of Münster","Social Anthropology / Sozialanthropologie","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4510/"
"Master's degree","SRH University","Social Design and Sustainable Innovation (MA)","Design",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7009/"
"Master's degree","Neu-Ulm University of Applied Sciences","Social Entrepreneurship for Sustainable Develop­ment (MA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8538/"
"Bachelor's degree","Hochschule der Medien Stuttgart","Social Media Marketing & Management","Languages and Cultural Studies in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9705/"
"Master's degree","Hochschule Bonn-Rhein-Sieg","Social Protection (MSc)","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4469/"
"Bachelor's degree","Fulda University of Applied Sciences","Social Sciences for Intercultural Relations","Social Science",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9620/"
"Master's degree","University of Cologne","Sociology and Social Research – Master of Science","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5451/"
"Master's degree","University of Konstanz","Sociology of Inequality (Master of Arts)","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8393/"
"Bachelor's degree","Aschaffenburg University of Applied Sciences","Software Design International","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9225/"
"Master's degree","Heilbronn University of Applied Sciences","Software Engineering (SEM)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3960/"
"Master's degree","Hof University of Applied Sciences","Software Engineering for Industrial Applications (MEng)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3667/"
"Master's degree","RWTH Aachen University","Software Systems Engineering","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3696/"
"Master's degree","Hochschule für Technik Stuttgart - University of Applied Sciences","Software Technology","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9001/"
"Master's degree","University of Freiburg","Solar Energy Engineering Master of Science","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5307/"
"Master's degree","Technische Universität Braunschweig","Solar System Physics (SSP)","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8965/"
"PhD / Doctorate","University of Göttingen","Solar System School — International Max Planck Research School for Solar System Science (PhD)","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4074/"
"Master's degree","University of Bremen","Space Engineering II (SpE-II)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6284/"
"Master's degree","University of Bremen","Space Sciences and Technologies – Sensing, Processing, Communication (Space-ST)","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4771/"
"Master's degree","University of Bonn","Spanish Culture and European Identity / Spanische Kultur und Europäische Identität / Cultura y pensamiento europeo: tradición y pervivencia","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6239/"
"Master's degree","TU Dortmund University","Spatial Planning for Regions in Growing Economies (SPRING)","Town and Country Planning",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3718/"
"Language course","Heidelberg University","Special Course in Business German","Business and Economics","EUR 880","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4893/"
"PhD / Doctorate","University of Freiburg","Spemann Graduate School of Biology and Medicine (SGBM)","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6883/"
"Master's degree","University of Konstanz","Sport Science for Health","Sport",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7755/"
"Master's degree","Johannes Gutenberg University Mainz","Sport Science – Movement and Wellbeing (MSc)","Sport",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8985/"
"Master's degree","University of Münster","Sports, Exercise and Human Performance","Sport",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5212/"
"Language course","University of Göttingen","Spring Course: Communication in Everyday and Academic Life in Göttingen","German Language Course (including Literature and Culture Studies)","EUR 495","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4925/"
"Master's degree","FAU Erlangen-Nürnberg","Standards of Decision-Making Across Cultures (SDAC)","Languages and Cultural Studies in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4844/"
