"Program_Title","Institution","Level","City","Link","Field","Language","Country","ECTS","Department","Duration","Tuition","Contact_Email","Form","Institution_URL","Credits_Percent","ECTS_Foreign","Cost_per_ECTS","Subjects_Foreign","Linguistic_Requirements"
"Architecture","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/63-architecture-12-3-wien.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Architecture","Technische Universität Graz","Bachelor","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/64-architecture-2-3-graz.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Architecture","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/65-architecture-12-3-graz.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Architecture","Akademie der bildenden Künste Wien","Bachelor","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/66-architecture-2-3-wien.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Architecture","Akademie der bildenden Künste Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/67-architecture-12-3-wien.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Architecture","Universität für angewandte Kunst Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/68-architecture-e-12-3-wien.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Architecture","Kunstuniversität Linz","Bachelor","Linz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/69-architecture-2-3-linz.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Architecture","Kunstuniversität Linz","Master","Linz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/70-architecture-12-3-linz.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Civil and Environmental Engineering","Universität Innsbruck","Bachelor","Innsbruck","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/82-civil-and-environmental-engineering-2-3-innsbruck.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Civil Engineering","Universität Innsbruck","Master","Innsbruck","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/83-civil-engineering-12-3-innsbruck.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Civil Engineering","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/86-civil-engineering-12-3-wien.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Civil Engineering","Technische Universität Wien","Bachelor","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/87-civil-engineering-2-3-wien.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geotechnical and Hydraulic Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/88-geotechnical-and-hydraulic-engineering-e-12-3-graz.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Civil Engineering Sciences and Structural Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/89-civil-engineering-sciences-and-structural-engineering-12-3-graz.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Civil Engineering Sciences – Infrastructure","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/90-civil-engineering-sciences-infrastructure-12-3-graz.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Civil Engineering and Construction Management","Technische Universität Graz","Bachelor","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/91-civil-engineering-and-construction-management-2-3-graz.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artificial Intelligence","Universität Linz","Master","Linz","https://www.studienwahl.at/studies/engineering-sciences/108-artificial-intelligence-e-12-3-linz.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biomedical Engineering","Technische Universität Graz","Bachelor","Graz","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biomedical-engineering/120-biomedical-engineering-2-3-graz.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
