"Program_Title","Institution","Level","Link","Language","Country","ECTS","Free_Tuition_EU"
"Electrical Engineering and Information Technology","Technische Universität Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/information/electrical-engineering/309-electrical-engineering-and-information-technology-2-3-wien.en.html","German","Austria",180,"Yes"
"Automation and Robotic Systems","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/313-automation-and-robotic-systems-12-3-wien.en.html","German","Austria",NA,"Yes"
"International Master in Soils and Global Change (IMSOGLO)","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/321-international-master-in-soils-and-global-change-imsoglo-12-3-wien.en.html","German","Austria",NA,"Yes"
"Environmental Sciences – Soil, Water and Biodiversity, ENVEURO","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/land-and-water-management/323-environmental-sciences-soil-water-and-biodiversity-enveuro-e-12-3-wien.en.html","English","Austria",NA,"Yes"
"DDP MSc European Forestry","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/343-ddp-msc-european-forestry-e-12-3-wien.en.html","English","Austria",NA,"Yes"
"European Master in Animal Breeding and Genetics","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/344-european-master-in-animal-breeding-and-genetics-e-12-3-wien.en.html","English","Austria",NA,"Yes"
"Financial and Actuarial Mathematics","Technische Universität Wien","Master","https://www.studienwahl.at/studies/natural-sciences/mathematicsphysics-studies/technical-mathematics/361-financial-and-actuarial-mathematics-12-3-wien.en.html","German","Austria",NA,"Yes"
"Financial and Actuarial Mathematics","Technische Universität Wien","Bachelor","https://www.studienwahl.at/studies/natural-sciences/mathematicsphysics-studies/technical-mathematics/362-financial-and-actuarial-mathematics-2-3-wien.en.html","German","Austria",180,"Yes"
"Forestry","Universität für Bodenkultur Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/367-forestry-2-3-wien.en.html","German","Austria",180,"Yes"
"Forestry Sciences","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/368-forestry-sciences-12-3-wien.en.html","German","Austria",NA,"Yes"
"Geodesy and Geoinformation","Technische Universität Wien","Bachelor","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/386-geodesy-and-geoinformation-2-3-wien.en.html","German","Austria",180,"Yes"
"Geodesy and Geoinformation","Technische Universität Wien","Master","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/387-geodesy-and-geoinformation-12-3-wien.en.html","German","Austria",NA,"Yes"
"Geodesy","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/405-geodesy-2-3-graz.en.html","German","Austria",180,"Yes"
"Geodesy","Technische Universität Graz","Master","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/406-geodesy-12-3-graz.en.html","German","Austria",NA,"Yes"
