"Title","University_Name","Program_Type","Location","Detail_Link","Area","Language"
"Forestry","Universität für Bodenkultur Wien","Bachelor","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/367-forestry-2-3-wien.en.html","Engineering Sciences","German"
"Forestry Sciences","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/368-forestry-sciences-12-3-wien.en.html","Engineering Sciences","German"
"Geodesy and Geoinformation","Technische Universität Wien","Bachelor","Wien","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/386-geodesy-and-geoinformation-2-3-wien.en.html","Engineering Sciences","German"
"Geodesy and Geoinformation","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/387-geodesy-and-geoinformation-12-3-wien.en.html","Engineering Sciences","German"
"Geodesy","Technische Universität Graz","Bachelor","Graz","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/405-geodesy-2-3-graz.en.html","Engineering Sciences","German"
"Geodesy","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/406-geodesy-12-3-graz.en.html","Engineering Sciences","German"
"Wood and Fibre Technology","Universität für Bodenkultur Wien","Bachelor","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/460-wood-and-fibre-technology-2-3-wien.en.html","Engineering Sciences","German"
"Wood Technology and Management","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/461-wood-technology-and-management-12-3-wien.en.html","Engineering Sciences","German"
"International Master in Horticultural Sciences","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/horticultural-sciences/466-international-master-in-horticultural-sciences-e-12-3-wien.en.html","Engineering Sciences","English"
"Technical Sciences","Akademie der bildenden Künste Wien","PhD","Wien","https://www.studienwahl.at/studies/art-studies/doctoral-programmes/480-technical-sciences-4-3-wien.en.html","Engineering Sciences","German"
"Industrial Design","Universität für angewandte Kunst Wien","Diploma","Wien","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/industrial-design/482-industrial-design-3-3-wien.en.html","Engineering Sciences","German"
"Industrial Design","Kunstuniversität Linz","Bachelor","Linz","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/industrial-design/483-industrial-design-2-3-linz.en.html","Engineering Sciences","German"
"Industrial Design","Kunstuniversität Linz","Master","Linz","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/industrial-design/484-industrial-design-12-3-linz.en.html","Engineering Sciences","German"
"Industrial Management and Business Administration","Montanuniversität Leoben","Master","Leoben","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/petroleum-engineering/485-industrial-management-and-business-administration-12-3-leoben.en.html","Engineering Sciences","German"
"Energy Engineering","Montanuniversität Leoben","Master","Leoben","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/energy-engineering/486-energy-engineering-12-3-leoben.en.html","Engineering Sciences","German"
"Environmental and Climate Protection Technology","Montanuniversität Leoben","Bachelor","Leoben","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/environmental-protection-waste-disposal-engineering-and-recycling/487-environmental-and-climate-protection-technology-2-3-leoben.en.html","Engineering Sciences","German"
"Environmental and Climate Protection Technology","Montanuniversität Leoben","Master","Leoben","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/environmental-protection-waste-disposal-engineering-and-recycling/488-environmental-and-climate-protection-technology-12-3-leoben.en.html","Engineering Sciences","German"
"Industrial Logistics","Montanuniversität Leoben","Bachelor","Leoben","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/industrial-logistics/489-industrial-logistics-2-3-leoben.en.html","Engineering Sciences","German"
