"Title","University","Degree","Duration","Tuition","Link","Language"
"Food Science and Nutrition","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/food-science-and-nutrition/","English"
"Environmental Engineering","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/environmental-engineering/","English"
"Electrical Power Engineering","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/electrical-power-engineering/","English"
"Chemical Engineering","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/chemical-engineering/","English"
"Biomedical Engineering","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/biomedical-engineering-2/","English"
"Aeronautical Engineering","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/aeronautical-engineering/","English"
"International Business","Kaunas University of Technology","Master‘s studies",2,4606,"https://studyin.lt/programs/international-business/","English"
"Accounting and Auditing","Kaunas University of Technology","Master‘s studies",2,4606,"https://studyin.lt/programs/accounting-and-auditing/","English"
"Artificial Intelligence in Computer Science","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/artificial-intelligence-in-computer-science/","English"
"Translation and Post-editing of Technical Texts","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/translation-and-localization-of-technical-texts/","English"
"Structural and Building Products Engineering","Kaunas University of Technology","Master‘s studies",1.5,5538,"https://studyin.lt/programs/structural-and-building-products-engineering/","English"
"Vehicle Engineering","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/vehicle-engineering-2/","English"
"Mechanical Engineering","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/mechanical-engineering-3/","English"
"Industrial Engineering and Management","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/industrial-engineering-and-management/","English"
"Electronics Engineering","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/electronics-engineering-2/","English"
"Control Technologies","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/control-technologies/","English"
"Informatics","Kaunas University of Technology","Bachelor's studies (university)",4,4108,"https://studyin.lt/programs/informatics-3/","English"
"Aviation Engineering","Kaunas University of Technology","Bachelor's studies (university)",4,4108,"https://studyin.lt/programs/aviation-engineering/","English"
"Chemical Technology and Engineering","Kaunas University of Technology","Bachelor's studies (university)",4,4108,"https://studyin.lt/programs/chemical-technology-and-engineering/","English"
"Electronics and Electrical Engineering","Kaunas University of Technology","Bachelor's studies (university)",3,4108,"https://studyin.lt/programs/electronics-engineering/","English"
"Materials Physics and Nanotechnologies","Kaunas University of Technology","Bachelor's studies (university)",4,4108,"https://studyin.lt/programs/materials-physics-and-nanotechnologies/","English"
"Mechanical Engineering","Kaunas University of Technology","Bachelor's studies (university)",4,4108,"https://studyin.lt/programs/mechanical-engineering-2/","English"
"Mechatronics","Kaunas University of Technology","Bachelor's studies (university)",4,4108,"https://studyin.lt/programs/mechatronics/","English"
"New Media Language","Kaunas University of Technology","Bachelor's studies (university)",4,3176,"https://studyin.lt/programs/new-media-language/","English"
"Intelligent Robotics Systems","Kaunas University of Technology","Bachelor's studies (university)",4,4108,"https://studyin.lt/programs/robotics/","English"
"Informatics","Klaipėdos valstybinė kolegija / Higher Education Institution","Bachelor's studies (college)",3,3200,"https://studyin.lt/programs/informatics-2/","English"
"Tourism Business","Klaipėdos valstybinė kolegija / Higher Education Institution","Bachelor's studies (college)",3,2600,"https://studyin.lt/programs/tourism-administration/","English"
