"University","Programme","City","Study_Level","Study_Type","Study_Language","Price"
"ISTANBUL UNIVERSITY","ASTRONOMY AND SPACE SCIENCES PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)",""
"ISTANBUL UNIVERSITY","BIOLOGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","30.000,00  TL"
"ISTANBUL UNIVERSITY","CHEMISTRY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","30.000,00  TL"
"ISTANBUL UNIVERSITY","COMPUTER SCIENCES PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH",""
"ISTANBUL UNIVERSITY","MATHEMATICS PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","30.000,00  TL"
"ISTANBUL UNIVERSITY","MOLECULAR BIOLOGY AND GENETICS PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","30.000,00  TL"
"ISTANBUL UNIVERSITY","PHYSICS PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","14.000,00  TL"
"ISTANBUL UNIVERSITY","PHYSICS PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","30.000,00  TL"
"ISTANBUL UNIVERSITY","THEOLOGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ARABIC (30%)","25.000,00  TL"
"ISTANBUL UNIVERSITY","THEOLOGY PR. (ARABIC)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ARABIC","25.000,00  TL"
"ISTANBUL UNIVERSITY","THEOLOGY PR. (ARABIC)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ARABIC",",00  TL"
"ISTANBUL UNIVERSITY","THEOLOGY PR. (DISTANCE EDUCATION)","İSTANBUL","Bachelor's Level","DISTANCE EDUCATION","TURKISH",""
"ISTANBUL UNIVERSITY","THEOLOGY PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","LOGISTICS MANAGEMENT PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","LOGISTICS MANAGEMENT PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","MEDICINE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","150.000,00  TL"
"ISTANBUL UNIVERSITY","MEDICINE PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","150.000,00  TL"
"ISTANBUL UNIVERSITY","MEDICINE PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH",""
"ISTANBUL TECHNICAL UNIVERSITY","AERONAUTICAL ENGINEERING PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)",",00  TL"
"ISTANBUL TECHNICAL UNIVERSITY","AEROSPACE ENGINEERING PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH",",00  TL"
"ISTANBUL TECHNICAL UNIVERSITY","CLIMATE SCIENCES AND METEOROLOGICAL ENGINEERING PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)",""
"ISTANBUL TECHNICAL UNIVERSITY","ARCHITECTURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)",",00  TL"
"ISTANBUL TECHNICAL UNIVERSITY","ARCHITECTURE PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH",",00  TL"
