"University","Title","Level","Link","Duration_years","ECTS","Language"
"Norwegian University of Life Sciences, East Norway","International Environment and Development Studies","Bachelor","https://studyinnorway.no/study-opportunities/international-environment-and-development-studies",3,180,"English"
"Norwegian University of Life Sciences, East Norway","International Environmental Studies","Master","https://studyinnorway.no/study-opportunities/international-environmental-studies",2,120,"English"
"Norwegian University of Life Sciences, East Norway","International Relations","Master","https://studyinnorway.no/study-opportunities/international-relations",2,120,"English"
"Norwegian University of Life Sciences, East Norway","International Relations - part time","Master","https://studyinnorway.no/study-opportunities/international-relations-part-time",2,120,"English"
"UiT The Arctic University of Norway,","Landscape Architecture - master","Master","https://studyinnorway.no/study-opportunities/landscape-architecture-master",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Landscape Architecture for Global Sustainability","Master","https://studyinnorway.no/study-opportunities/landscape-architecture-global-sustainability",2,120,"English"
"UiT The Arctic University of Norway,","Law of the Sea - master","Master","https://studyinnorway.no/study-opportunities/law-sea-master",1,90,"English"
"BI Norwegian Business School, East Norway, West Norway","Leadership and Organisational Psychology","Master","https://studyinnorway.no/study-opportunities/leadership-and-organisational-psychology",2,120,"English"
"University of Oslo, East Norway","Linguistics","Master","https://studyinnorway.no/study-opportunities/linguistics",2,120,"English"
"Norwegian University of Science and Technology, West Norway","Management of Innovation and Sustainable Business Development - Master's Programme","Master","https://studyinnorway.no/study-opportunities/management-innovation-and-sustainable-business-development-masters-programme",2,120,"English"
"Norwegian University of Science and Technology, East Norway","Manufacturing 4.0 by Intelligent and Sustainable Technologies - Master's Programme","Master","https://studyinnorway.no/study-opportunities/manufacturing-40-intelligent-and-sustainable-technologies-masters-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Marine and Maritime Intelligent Robotics (MIR) - Master's Programme","Master","https://studyinnorway.no/study-opportunities/marine-and-maritime-intelligent-robotics-mir-masters-programme",2,120,"English"
"University of Stavanger, West Norway","Marine and Offshore Technology - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/marine-and-offshore-technology-master-science-degree-programme",2,120,"English"
"UiT The Arctic University of Norway,","Marine Biotechnology - master","Master","https://studyinnorway.no/study-opportunities/marine-biotechnology-master",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Marine Technology - Master's Programme","Master","https://studyinnorway.no/study-opportunities/marine-technology-masters-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Maritime Engineering - Nordic Master's Programme","Master","https://studyinnorway.no/study-opportunities/maritime-engineering-nordic-masters-programme",2,120,"English"
"University of Oslo, East Norway","Maritime Law","Master","https://studyinnorway.no/study-opportunities/maritime-law",1,90,"English"
"University of South-Eastern Norway,","Maritime Management (commercial specialization)","Master","https://studyinnorway.no/study-opportunities/maritime-management-commercial-specialization",2,120,"English"
"University of South-Eastern Norway,","Maritime Management (technical specialization)","Master","https://studyinnorway.no/study-opportunities/maritime-management-technical-specialization",2,120,"English"
"Western Norway University of Applied Sciences, West Norway","Maritime Operations","Master","https://studyinnorway.no/study-opportunities/maritime-operations",2,120,"English"
"NHH Norwegian School of Economics,","Marketing and Brand Management","Master","https://studyinnorway.no/study-opportunities/marketing-and-brand-management",2,120,"English"
"Norwegian Academy of Music, East Norway","Mas­ter of Music in Con­duct­ing","Master","https://studyinnorway.no/study-opportunities/mas-ter-music-con-duct-ing",2,120,"English"
"Norwegian Academy of Music, East Norway","Mas­ter of Music in Music The­ory","Master","https://studyinnorway.no/study-opportunities/mas-ter-music-music-ory",2,120,"English"
"Norwegian Academy of Music, East Norway","Mas­ter of Music Per­form­ance","Master","https://studyinnorway.no/study-opportunities/mas-ter-music-form-ance",2,120,"English"
"University of Oslo, East Norway","Master Honours Certificate in Education for Sustainable Health","","https://studyinnorway.no/study-opportunities/master-honours-certificate-education-sustainable-health",NA,20,"English"
"University of Inland Norway, East Norway","Master in Applied Biotechnology and Biomedical Sciences","Master","https://studyinnorway.no/study-opportunities/master-applied-biotechnology-and-biomedical-sciences",2,120,"English"
"Østfold University College,","Master in Applied Computer Science (120 ECTS)","Master","https://studyinnorway.no/study-opportunities/master-applied-computer-science-120-ects",2,120,"English"
"Østfold University College,","Master in Applied Computer Science, part-time (120 ECTS)","Master","https://studyinnorway.no/study-opportunities/master-applied-computer-science-part-time-120-ects",2,120,"English"
"University of Inland Norway, East Norway","Master in Applied Ecology","Master","https://studyinnorway.no/study-opportunities/master-applied-ecology-0",2,120,"English"
"Kristiania University College, East Norway","Master in Artificial Intelligence","Master","https://studyinnorway.no/study-opportunities/master-artificial-intelligence",2,120,"English"
"Kristiania University College, East Norway","Master in Cyber Security","Master","https://studyinnorway.no/study-opportunities/master-cyber-security",2,120,"English"
"University of Inland Norway, East Norway","Master in Digital Communication and Culture","Master","https://studyinnorway.no/study-opportunities/master-digital-communication-and-culture",2,120,"English"
"NLA University College, South Norway","Master in Global Journalism","Master","https://studyinnorway.no/study-opportunities/master-global-journalism",2,120,"English"
