"Label","DKK","EUR","NOK","PLN","RSD","SEK","TRY","USD","Country"
"Loaf of Fresh White Bread (500g)",5.49,0.74,8.44,3.14,86.24,8.14,33.51,0.64,"Serbia"
"Local Cheese (1kg)",73.48,9.85,113.07,42.11,1154.98,108.95,448.82,8.54,"Croatia"
"Local Cheese (1kg)",77.36,10.37,119.04,44.33,1215.95,114.7,472.51,8.99,"Lithuania"
"Local Cheese (1kg)",81.54,10.93,125.47,46.73,1281.62,120.89,498.03,9.48,"Estonia"
"Local Cheese (1kg)",87.81,11.77,135.11,50.32,1380.11,130.19,536.3,10.21,"Cyprus"
"Local Cheese (1kg)",92.13,12.35,141.77,52.8,1448.12,136.6,562.73,10.71,"Spain"
"Local Cheese (1kg)",92.81,12.44,142.8,53.18,1458.68,137.6,566.83,10.79,"Slovenia"
"Local Cheese (1kg)",95.64,12.82,147.16,54.81,1503.23,141.8,584.15,11.12,"Germany"
"Local Cheese (1kg)",96.98,13,149.23,55.58,1524.34,143.79,592.35,11.28,"Belgium"
"Local Cheese (1kg)",120.71,16.18,185.74,69.17,1897.22,178.96,737.25,14.03,"Austria"
"Local Cheese (1kg)",126.38,16.94,194.46,72.42,1986.33,187.37,771.87,14.69,"Luxembourg"
"Local Cheese (1kg)",60.22,8.07,92.66,34.51,946.53,89.29,367.82,7,"Poland"
"Local Cheese (1kg)",92.24,12.36,141.93,52.86,1449.78,136.76,563.37,10.72,"Denmark"
"Local Cheese (1kg)",76.85,10.3,118.25,44.04,1207.89,113.94,469.38,8.94,"Sweden"
"Local Cheese (1kg)",78.38,10.51,120.6,44.91,1231.88,116.2,478.7,9.11,"Norway"
"Local Cheese (1kg)",63.46,8.51,97.65,36.37,997.42,94.09,387.59,7.38,"Turkey"
"Local Cheese (1kg)",66.22,8.88,101.9,37.95,1040.84,98.18,404.46,7.7,"Serbia"
"Meal for 2 People, Mid-range Restaurant, Three-course",373.01,50,573.97,213.76,5862.85,553.04,2278.26,43.37,"Slovenia"
"Meal for 2 People, Mid-range Restaurant, Three-course",373.01,50,573.97,213.76,5862.85,553.04,2278.26,43.37,"Spain"
"Meal for 2 People, Mid-range Restaurant, Three-course",447.62,60,688.76,256.51,7035.42,663.65,2733.91,52.04,"Croatia"
"Meal for 2 People, Mid-range Restaurant, Three-course",447.62,60,688.76,256.51,7035.42,663.65,2733.91,52.04,"Cyprus"
"Meal for 2 People, Mid-range Restaurant, Three-course",447.62,60,688.76,256.51,7035.42,663.65,2733.91,52.04,"Lithuania"
"Meal for 2 People, Mid-range Restaurant, Three-course",484.92,65,746.16,277.88,7621.7,718.95,2961.74,56.38,"Estonia"
"Meal for 2 People, Mid-range Restaurant, Three-course",484.92,65,746.16,277.88,7621.7,718.95,2961.74,56.38,"Germany"
"Meal for 2 People, Mid-range Restaurant, Three-course",522.22,70,803.55,299.26,8207.99,774.26,3189.56,60.72,"Austria"
"Meal for 2 People, Mid-range Restaurant, Three-course",596.82,80,918.35,342.01,9380.56,884.87,3645.22,69.39,"Belgium"
"Meal for 2 People, Mid-range Restaurant, Three-course",596.82,80,918.35,342.01,9380.56,884.87,3645.22,69.39,"Luxembourg"
